time,Open,High,Low,Close
2018.11.07 08-20-00,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-20-05,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-20-10,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-20-15,6519.5,6520.0,6519.5,6520.0
2018.11.07 08-20-20,6520.0,6519.5,6519.5,6519.5
2018.11.07 08-20-25,6519.5,6520.0,6519.5,6520.0
2018.11.07 08-20-30,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-35,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-40,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-45,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-50,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-55,6520.0,6520.0,6519.5,6520.0
2018.11.07 08-21-00,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-05,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-10,6520.0,6520.0,6519.5,6520.0
2018.11.07 08-21-15,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-20,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-25,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-30,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-35,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-40,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-45,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-50,6520.0,6520.5,6520.5,6520.5
2018.11.07 08-21-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-00,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-22-05,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-22-10,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-20,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-22-25,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-22-30,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-40,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-45,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-50,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-00,6520.5,6520.0,6520.0,6520.0
2018.11.07 08-23-05,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-23-10,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-23-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-20,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-25,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-23-30,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-23-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-40,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-45,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-50,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-00,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-24-05,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-24-10,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-24-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-20,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-25,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-30,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-40,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-45,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-50,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-25-00,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-25-05,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-25-10,6520.5,6520.5,6520.0,6520.5
2018.11.07 08-25-15,6520.5,6520.0,6520.0,6520.0
2018.11.07 08-25-20,6520.0,6520.5,6520.5,6520.0
2018.11.07 08-25-25,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-30,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-35,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-40,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-45,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-50,6520.0,6520.5,6520.0,6520.5
